epoch,accuracy,loss,val_accuracy,val_loss
0,0.3600885570049286,1.3267241716384888,0.47262248396873474,1.2893507480621338
1,0.6601162552833557,0.9794644713401794,0.6455331444740295,0.9468293786048889
2,0.7910323739051819,0.5774402022361755,0.6657060384750366,0.8197532296180725
3,0.8474951386451721,0.4122307598590851,0.6974063515663147,0.822368860244751
4,0.8843066692352295,0.32328757643699646,0.6945244669914246,0.8435191512107849
5,0.9125380516052246,0.25658461451530457,0.6974063515663147,0.8779239654541016
6,0.9285911917686462,0.21538512408733368,0.7060518860816956,0.9905925989151001
7,0.9454746842384338,0.17682217061519623,0.6974063515663147,1.0429202318191528
8,0.9576529264450073,0.14757414162158966,0.680115282535553,1.070633888244629
9,0.9615278244018555,0.13055729866027832,0.6916426420211792,1.1168450117111206
10,0.9648491740226746,0.12071799486875534,0.7031700015068054,1.214754343032837
11,0.9684472680091858,0.10532458871603012,0.680115282535553,1.2518385648727417
12,0.9712150692939758,0.0971260517835617,0.6887608170509338,1.2891857624053955
13,0.972875714302063,0.09774483740329742,0.6916426420211792,1.3086049556732178
14,0.9739828109741211,0.08158593624830246,0.6887608170509338,1.3800570964813232
15,0.9745364189147949,0.0812784880399704,0.6887608170509338,1.4156603813171387
16,0.9753667116165161,0.0781695544719696,0.6829971075057983,1.4302927255630493
17,0.975089967250824,0.07748452574014664,0.6714697480201721,1.4831900596618652
18,0.9759202599525452,0.06982511281967163,0.6772334575653076,1.5148769617080688
19,0.9786880612373352,0.0674622654914856,0.6829971075057983,1.5167458057403564
20,0.9781345129013062,0.0703112855553627,0.6743515729904175,1.5562204122543335
21,0.977027416229248,0.06150899827480316,0.6858789920806885,1.5701172351837158
22,0.9767506122589111,0.059279125183820724,0.6599423885345459,1.650610089302063
23,0.9775809645652771,0.05946420133113861,0.6743515729904175,1.5738563537597656
24,0.9789648652076721,0.0556570403277874,0.6887608170509338,1.6110106706619263
